,doc_offset,corpus_span,correct_span,correct_ent_type,error_type
0,80,"[44, 59): 'rebels-Interfax'","[51, 59): 'Interfax'",ORG,Token
1,115,"[17, 27): 'FOCUS-News'","[23, 27): 'News'",ORG,Token
2,163,"[220, 232): 'x-AEK Athens'","[222, 232): 'AEK Athens'",ORG,Token
3,163,"[271, 283): 'x-Olympiakos'","[273, 283): 'Olympiakos'",ORG,Token
4,163,"[308, 313): 'x-PAO'","[310, 313): 'PAO'",ORG,Token
5,169,"[50, 61): 'trip-Canada'","[55, 61): 'Canada'",LOC,Token
6,198,"[11, 20): 'WSC-India'","[11, 14): 'WSC'",ORG,Token
7,198,"[11, 20): 'WSC-India'","[15, 20): 'India'",LOC,Token
8,298,"[49, 60): '1997--Ruehe'","[55, 60): 'Ruehe'",PER,Token
9,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[11, 21): 'AUSTRALIAN'",MISC,Token
10,343,"[11, 31): 'AUSTRALIAN RULES-AFL'","[28, 31): 'AFL'",MISC,Token
11,422,"[236, 246): 'Videoton(*'","[236, 244): 'Videoton'",,Token
12,444,"[20, 40): 'SCOREBOARD-AUSTRALIA'","[31, 40): 'AUSTRALIA'",ORG,Token
13,593,"[45, 57): 'France-Juppe'","[45, 51): 'France'",LOC,Token
14,593,"[45, 57): 'France-Juppe'","[52, 57): 'Juppe'",PER,Token
15,626,"[42, 59): 'disarmament-China'","[54, 59): 'China'",LOC,Token
16,701,"[17, 30): 'union-England'","[23, 30): 'England'",ORG,Token
17,734,"[11, 31): 'BALANCE-Water Dist 1'","[19, 31): 'Water Dist 1'",ORG,Token
18,918,"[11, 24): 'INTERVIEW-T&N'","[21, 24): 'T&N'",ORG,Token
