fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes
dev,2,"[122, 129): 'England'",LOC,Tag,"[122, 129): 'England'",ORG,Cricket team
dev,2,"[1354, 1362): 'Scotland'",LOC,Tag,"[1354, 1362): 'Scotland'",ORG,
dev,2,"[235, 244): 'Australia'",LOC,Tag,"[235, 244): 'Australia'",ORG,Cricket team
dev,2,"[525, 533): 'Scotland'",LOC,Tag,"[525, 533): 'Scotland'",ORG,Cricket team
dev,2,"[61, 70): 'Australia'",LOC,Tag,"[61, 70): 'Australia'",ORG,Cricket team
dev,2,"[760, 765): 'Leeds'",ORG,Tag,"[760, 765): 'Leeds'",LOC,
dev,6,"[47, 56): 'VOLGOGRAD'",LOC,Tag,"[47, 56): 'VOLGOGRAD'",ORG,
dev,7,"[1004, 1022): 'Boxing Association'",ORG,Span,"[993, 1022): 'Panamanian Boxing Association'",ORG,
dev,11,"[1967, 1975): 'Republic'",LOC,Sentence,"[1961, 1975): 'Czech Republic'",LOC,
dev,12,"[1247, 1254): 'CHICAGO'",LOC,Tag,"[1247, 1254): 'CHICAGO'",ORG,Team
dev,12,"[1266, 1276): 'CINCINNATI'",LOC,Tag,"[1266, 1276): 'CINCINNATI'",ORG,Baseball team
dev,12,"[1290, 1298): 'MONTREAL'",LOC,Tag,"[1290, 1298): 'MONTREAL'",ORG,sports team
dev,12,"[1314, 1326): 'PHILADELPHIA'",LOC,Tag,"[1314, 1326): 'PHILADELPHIA'",ORG,Baseball team
dev,12,"[1338, 1348): 'PITTSBURGH'",LOC,Tag,"[1338, 1348): 'PITTSBURGH'",ORG,Baseball team
dev,12,"[1366, 1374): 'NEW YORK'",LOC,Tag,"[1366, 1374): 'NEW YORK'",ORG,baseball team 
dev,12,"[1387, 1395): 'ST LOUIS'",LOC,Tag,"[1387, 1395): 'ST LOUIS'",ORG,Home team for a baseball game
dev,12,"[672, 679): 'DETROIT'",LOC,Tag,"[672, 679): 'DETROIT'",ORG,Home team for a baseball game
dev,12,"[691, 698): 'TORONTO'",LOC,Tag,"[691, 698): 'TORONTO'",ORG,baseball team 
dev,12,"[712, 721): 'MILWAUKEE'",LOC,Tag,"[712, 721): 'MILWAUKEE'",ORG,Home team for a baseball game
dev,12,"[735, 740): 'TEXAS'",LOC,Tag,"[735, 740): 'TEXAS'",ORG,Baseball team
dev,12,"[753, 763): 'CALIFORNIA'",LOC,Tag,"[753, 763): 'CALIFORNIA'",ORG,Home team for a baseball game
dev,12,"[774, 781): 'OAKLAND'",LOC,Tag,"[774, 781): 'OAKLAND'",ORG,Home team for a baseball game
dev,12,"[795, 802): 'SEATTLE'",LOC,Tag,"[795, 802): 'SEATTLE'",ORG,Sports team
dev,12,"[88, 109): 'Major League Baseball'",MISC,Tag,"[88, 109): 'Major League Baseball'",ORG,organization 
dev,12,"[819, 835): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[232, 248): 'EASTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[380, 396): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[519, 535): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[819, 835): 'EASTERN DIVISION",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[962, 978): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,12,"[1095, 1111): 'WESTERN DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
dev,13,"[83, 95): 'Major League'",MISC,Sentence,"[83, 104): 'Major League Baseball'",,"Sentence boundary between ""League"" and ""Baseball"""
dev,13,,,Missing,"[96, 104): 'Baseball'",MISC,"Sentence boundary between ""League"" and ""Baseball"""
dev,14,,,Missing,"[452, 459): 'Stadium'",LOC,"""Stadium"" with a capital ""S"", referring to Arthur Ashe Stadium"
dev,15,"[109, 133): 'National Football League'",ORG,Tag,"[109, 133): 'National Football League'",MISC,"Leagues should be tagged MISC, per the rubric"
dev,15,"[11, 14): 'NFL'",ORG,Tag,"[11, 14): 'NFL'",MISC,"Leagues should be tagged MISC, per the rubric"
dev,15,"[41, 51): 'CUNNINGHAM'",PER,Token,"[33, 51): 'RANDALL CUNNINGHAM'",PER,See previous line
dev,15,"[15, 40): 'AMERICAN FOOTBALL-RANDALL'",MISC,Wrong,,,"FOOTBALL-RANDALL treated as a single token; ""AMERICAN FOOTBALL"" is the generic name of a sport, not a named entity"
dev,16,"[407, 413): 'Willie'",PER,Sentence,"[407, 418): 'Willie Wood'",PER,
dev,16,"[414, 418): 'Wood'",PER,Sentence,"[407, 418): 'Willie Wood'",,Sentence boundary between first and last name
dev,16,"[529, 532): 'Ken'",PER,Sentence,"[529, 538): 'Ken Green'",PER,
dev,16,"[533, 538): 'Green'",PER,Sentence,"[529, 538): 'Ken Green'",,Sentence boundary between first and last name
